codigo,componente,titulo original,titulo leigo,CIDS10 possíveis,CID10 mais frequente,definição,critérios de inclusão,critérios de exclusão,considerar,nota,
P18,1,Abuso de medicação,Abuso de medicação,"F13, F19, F55",F55,,qualquer droga prescrita,,,"As definições de abuso de substâncias devem levar em conta as diferenças de país para país e de cultura para cultura. Um paciente alcooólatra ou um tóxico-dependente precisa de atenção por profissional da saúde, mas alguns pacientes pedem e tomam tranquilizantes, comprimidos para dormir, anoréticos e laxativos inadequadamente e por muito tempo. Nestes casos, o profissional pode chamar o episódio de “abuso de medicação” sem o acordo do paciente e, conseqüentemente, sem a sua predisposição para concordar com qualquer intervenção",
P19,1,Abuso de drogas,Abuso de drogas/ drogadição,"F11, F12, F13, F14, F15, F16, F18, F19",F19.1,"perturbação devida ao abuso de substâncias psicoativas que provocam dependência, e que leva a uma ou mais das situações seguintes:","dependência de drogas, privação de drogas",,,"As definições de abuso de substâncias devem levar em conta as diferenças de país para país e de cultura para cultura. Um paciente alcooólatra ou um tóxico-dependente precisa de atenção por profissional da saúde, mas as definições de “abuso de haxixe” são controversas. Alguns pacientes pedem e tomam tranqüilizantes, comprimidos para dormir, anoréticos e laxativos inadequadamente e por muito tempo. Nestes casos, o profissional pode chamar o episódio de “abuso de drogas” sem o acordo do paciente e, conseqüentemente, sem a sua predisposição para concordar com qualquer intervenção",
P20,1,Alterações da memória,Alterações da memória,R41,R41.8,,amnésia; dificuldade de concentração; desorientação,,,,
P22,1,Sinais/sintomas relacionados ao comportamento da criança,Sintomas relacionados ao comportamento da criança/ criança hiperativa,"F91, F92, F93, F94, F98.8, F98.9, R62.0",F91,,atraso de crescimento; ciúme; criança hiperativa; atraso da fala; crise de ira,adolescente P23; adulto P80; preocupação com o desenvolvimento físico T10; atraso de crescimento T10,,,
P23,1,Sinais/sintomas relacionados ao comportamento do adolescente,Sinais/sintomas relacionados ao comportamento do adolescente/ delinquência,"F91, F92, F94, F98.8, F98.9",F91,,delinqüência,"criança P22, P81; adulto P80",,,
P24,1,Dificuldades especificas de aprendizagem,Dificuldades especificas de aprendizagem,"F80, F81, F82, F83, R48",R48.8,"dificuldades de aprendizagem da fala ou da linguagem, com início na infância, juntamente com deficiências de funcionamento ligadas à maturação biológica do sistema nervoso central, e um estado estável ao longo do tempo sem remissões ou recaídas espontâneas, embora as dificuldades possam diminuir à medida que a criança cresce.",dislexia,"dificuldades em manter a atenção P81, atraso mental P85",,,
P25,1,Problemas da fase de vida de adulto,Problemas da fase de vida de adulto,Z60.0,Z60.0,,"Síndrome do “ninho vazio”, crise da meia-idade, problemas decorrentes de inovações e mudanças","senilidade, sentir-se/comportar-se como velho P05; menopausa X11",,,
P27,1,Medo de perturbações mentais,Medo de perturbações mentais,Z71.1,Z71.1,paciente que receia ter doenças mentais sem as ter ou até o diagnóstico ser confirmado,"preocupação com doenças mentais, medo de tentativa de suicídio","se o paciente tem essa doença, codifique-a",,,
P28,1,Limitação funcional/incapacidade,Limitação funcional/incapacidade,Z73.6,Z73.6,limitação funcional/ incapacidade devido a problema psicológico,limitação funcional/ incapacidade como resultado de perturbações psicológicas,auto-estima fraca P03,,Os quadros COOP/WONCA permitem codificar o estado funcional do paciente (ver Capítulo 8).,
P29,1,"Sinais/sintomas psicológicos, outros","Sinais/sintomas psicológicos, outros","F50.8, F50.9, F63.3, F98.8, F98.9, R44, R45.7, R45.8, R46.0, R46.1, R46.2, R46.3, R46.4, R46.5, R46.6, R46.7, R46.8, Z64.2, Z64.3, Z73.0, Z73.1, Z73.3",R45.8,,"delírios, problemas alimentares NE, alucinações, sinais/sintomas psicológicos múltiplos, falta de higiene, comportamentos estranhos, desconfiança",cefaléia de tensão N95,,,
P70,7,Demência,Demência,"F00, F01, F02, F03, G30",F03,"síndrome devido a uma doença do cérebro, geralmente de natureza crônica e/ou progressiva, com perturbações clinicamente significativas das funções do córtex superior (memória, pensamento, orientação, compreensão), mas sem afetar a consciência.","doença de Alzheimer, demência senil",,"senilidade P05, outros sintomas psicológicos P29",,
P71,7,Outras psicoses orgânicas NE,Outras psicoses orgânicas NE,"F04, F05, F06, F07, F09",F06,distúrbios psiquiátricos orgânicos como diagnóstico exigem síndromes psicológicos ou comportamentos devidos a uma doença orgânica.,delirium,"origem alcoólica P15, psicose não especificada P98",,,
P72,7,Esquizofrenia,Esquizofrenia,"F20, F21, F22, F24, F25, F28",F20,"distorções fundamentais e características do pensamento, percepção e afetos que são inadequados ou enevoados (por exemplo, pensamento-eco, inserção, retirada, percepções delirantes, vozes alucinatórias, delírios de controle), mas com perfeita consciência e sem alteração da capacidade intelectual.","todos os tipos de esquizofrenia, paranóia",psicose aguda/ transitória P98,psicose não especificada P98,,
P73,7,Psicose afetiva,Psicose afetiva,"F30, F31, F34.0",F31,"distúrbio fundamental dos afetos e do humor, alternadamente excitado e deprimido (associado ou não a ansiedade). Na perturbação maníaca, a energia e a atividade estão simultaneamente estimuladas. Na doença bipolar, observam-se pelo menos dois períodos de perturbação do humor variando do excitado ao deprimido","distúrbio bipolar, hipomania, mania, depressão maníaca",depressão P76,psicose não especificada P98,,
P74,7,Distúrbio ansioso/estado de ansiedade,Distúrbio ansioso/estado de ansiedade,"F41.0, F41.1, F41.3, F41.8, F41.9",F41,"ansiedade clinicamente significativa que não se restringe a nenhum ambiente ou situação específica. Manifesta-se como episódios de pânico (ataques recorrentes de extrema ansiedade não limitada a nenhuma situação, com ou sem sintomas físicos) ou como uma ansiedade generalizada e persistente, não associada a nenhuma situação específica e com sintomas físicos variáveis.","neurose ansiosa, pânico","ansiedade com depressão P76, ansiedade NE P01","ansiedade, nervosismo, tensão P01",,
P75,7,Somatização,Somatização,"F44, F45.0, F45.1, F45.2",F45,"a somatização caracteriza-se por uma preocupação com a apresentação repetida de sintomas e queixas físicas, assim como pedidos insistentes de exames médicos, apesar de vários resultados negativos e garantias por parte dos profissionais. Esta requer a apresentação ao médico de família e comunidade ou profissional da saúde de sintomas físicos múltiplos, recorrentes e sempre diferentes durante um período de pelo menos um ano. A hipocondria requer uma preocupação persistente com a aparência física ou com a possibilidade de uma doença grave, além de queixas somáticas constantes durante um período de pelo menos um ano, apesar de vários resultados negativos e garantias por parte dos profissionais","distúrbios de conversão, hipocondria, histeria, pseudociese",,,"A somatização é a apresentação repetida de sintomas físicos e de queixas sugestivas de distúrbios físicos não confirmados por resultados orgânicos visíveis ou mecanismos fisiológicos, e para os quais existe evidência positiva de ligação a fatores psicológicos, não sentindo o paciente uma sensação de controle na produção destes sintomas ao lidar com os fatores psicológicos. Sinais e sintomas físicos que incluam dor e sejam apresentados como se fossem devidos a perturbações físicas de um sistema/órgão sob controle do sistema nervoso autônomo, ou que consistam numa dor contínua e incômoda/grave não explicável por perturbações/processos psicológicos, são codificados como um diagnóstico de sinais/sintomas representativos da vertente física e, se possível, com um código que represente o problema emocional ou psicológico com o qual estão associados. A definição de somatização no ICD-10 (mínimo 2 anos) é demasiado rígida para ser usada na atenção primária à saúde",
P76,7,Perturbações depressivas,Perturbações depressivas,"F32, F33, F34.1, F34.8, F34.9, F38, F39, F41.2, F53.0",F32,"distúrbio importante do estado de espírito no sentido da depressão. O estado de espírito, a energia e a atividade diminuem, assim como diminui a alegria, o interesse e a concentração. O sono e o apetite são normalmente alterados e a auto-estima e a confiança diminuem.",psicose afetiva NE; neurose depressiva; psicose depressiva; misto de ansiedade e depressão; depressão reativa; depressão pós-natal/puerperal,reação aguda ao estresse P02,sensação de depressão P03,,
P77,7,Suicídio/tentativa de suicídio,Suicídio/tentativa de suicídio,Z91.5,F99,,gesto suicida; tentativa sucedida (código duplo com A96),medo de tentativa de suicídio P27,,código duplo com A96,
P78,7,Neurastenia,Neurastenia,F48.0,F48.0,"fadiga crescente com associações desagradáveis, dificuldades de concentração e um decréscimo constante do desempenho e da eficiência; a sensação de cansaço físico e de exaustão depois de um esforço mental ou um esforço físico mínimo é muitas vezes acompanhada de dores musculares e de uma incapacidade de relaxar.",,,"fadiga A04, fadiga pós-viral A04, fadiga crônica A04",,
P79,7,Fobia/perturbação compulsiva,Fobia/perturbação compulsiva,"F40, F42",F42,"a ansiedade fóbica exige a expressão dessa ansiedade em voz alta, feita apenas em situações bem definidas e não consideradas perigosas: o paciente tenta evitar estas situações ou suporta-as com terror.","Fobias, perturbações obsessivo-compulsivas",,,,
P80,7,Perturbações de personalidade,Perturbações de personalidade,"F60, F61, F62, F63.0, F63.1, F63.2, F63.8, F63.9, F68, F69",F60,"estados e padrões de comportamento clinicamente relevantes do estilo de vida de um indivíduo e da sua forma de se relacionar consigo mesmo e com os outros, refletindo desvios significativos ou graves da forma como a maioria dos indivíduos dessa cultura percebe, sente e se comporta. Este padrão está profundamente incorporado e é de longa duração.","psicopatia, neurose de compensação, síndrome de Munchausen, perturbações de comportamento num adulto",,,,
P81,7,Perturbação hipercinética,Perturbação hipercinética,F90,F90,"falta de persistência, de início precoce, ao realizar atividades que exigem envolvimento cognitivo, com tendência em saltar de uma atividade para outra sem completar nenhuma, com comportamento desorganizado e débil e atividade excessiva.","falta de atenção, hiperatividade","início na adolescência P23, problemas de aprendizagem P24",criança hiperativa P22,,
P82,7,Estresse pós traumático,Estresse pós traumático,F43.1,F43.1,"um acontecimento estressante seguido de estados de perturbação e de angústia graves, com uma reação diferida ou prolongada, “flashbacks”, pesadelos, embotamento emocional, anedonia interferindo com o desempenho e o funcionamento social, e incluindo estados depressivos, ansiedade, preocupação e um sentimento de incapacidade em lidar com a situação que persiste ao longo do tempo.",perturbação persistente da adaptação,reação aguda ao estresse P02,"reação de estresse aguda P02, ansiedade P01, depressão P03",,
P85,7,Retardo/ Atraso mental,Retardo/ Atraso mental,"F70, F71, F72, F73, F78, F79",F79,"interrupção do desenvolvimento ou desenvolvimento incompleto do pensamento com impedimento de certas competências durante o período de desenvolvimento, fraco nível de inteligência, com ou sem perturbações comportamentais.",,devido a malformações congênitas A90,,,
P86,7,"Anorexia nervosa, bulimia","Anorexia nervosa, bulimia","F50.0, F50.1, F50.2, F50.3, F50.4",F50,"Anorexia Nervosa: perda de peso provocada e mantida deliberadamente pelo paciente, associada a um medo exagerado e supervalorizado da gordura e da flacidez.",,,"distúrbios alimentares, recusa em comer P11,P29; dificuldades em comer T04,T05",,
P98,7,Outras psicoses NE,Outras psicoses NE,"F23, F29, F53.1",F29,"Bulimia: ataques repetidos de fome em que se come demais e uma preocupação excessiva com o peso, o que leva a um comportamento padrão de excesso de comida seguido de vômitos provocados ou recurso a purgativos.","psicose reativa, psicose puerperal",,,,
P99,7,Outras perturbações psicológicas,Outras perturbações psicológicas,"F48.1, F48.8, F48.9, F53.8, F53.9, F54, F59, F84, F88, F89, F99",F99,,autismo; doença mental não especificada; neurose NE,,,,
R01,1,Dor atribuída ao aparelho respiratório,Dor atribuída ao aparelho respiratório,R07.1,R07.1,,"respiração com dores, dores pleuríticas, pleurodinia","dor no tórax A11, dor no tórax (músculo-esquelético) LO4, dores nasais RO8, dor nos seios perinasais RO9, garganta irritada R21, pleurisia R82, sensação de tórax apertado R29",,,
R02,1,"Dificuldade respiratória, dispneia","Dificuldade respiratória, dispneia",R06.0,R06.0,,ortopnéia,"respiração ruidosa RO3, estridor R04, hiperventilação R98",,,
R03,1,Respiração ruidosa,Respiração ruidosa,R06.2,R06.2,,inspiração ruidosa ou estridor,"dispnéia R02, estridor R04, hiperventilação R98",,,
R04,1,Outros problemas respiratórios,Outros problemas respiratórios,"R06.1, R06.3, R06.5, R06.8",R06.8,,"respiração anormal, apnéia, interrupção da respiração, dificuldades respiratórias, ressonar, estridor, taquipnéia","apnéia do sono P06, dores respiratórias R01, dispnéia R02, respiração ruidosa R03, tosse R05,  hiperventilação R98",,,
R05,1,Tosse,Tosse,R05,R05,,tosse (seca ou úmida),expectoração ou muco R25,,,
R06,1,Hemorragia nasal/epistaxe,Hemorragia nasal/epistaxe,R04.0,R04.0,,,,,,
R07,1,Espirro/congestão nasal,Espirro/congestão nasal,"J34.8, R06.7",R06.7,,"nariz tapado, rinorréia, corrimento nasal",,,,
R08,1,Outros sinais/sintomas nasais,Outros sinais/sintomas nasais,J34.8,J34.8,,"dores nasais, gotejamento pós-nasal, nariz inchado, nariz vermelho","anosmia N16, epistaxe R06, nariz tapado R07, espirros R07, queixas dos seios perinasais R09, rinofima S99",,,
R09,1,Sinais/sintomas dos seios paranasais,Dor/sintomas dos seios paranasais,J34.8,J34.8,,"seios perinasais obstruídos, seios perinasais congestionados, dor ou pressão nos seios perinasais","cefaléias N01, dores na face N03, congestão nasal R07",,,
R21,1,Sinais/sintomas da garganta,Dor/sintomas da garganta,"R07.0, R09.8",R07.0,,"garganta seca, garganta inflamada, amígdalas dilatadas, sensação de aperto na garganta, vermelhidão da garganta, garganta irritada, dor nas amígdalas","sintomas relativos à voz R23, hipertrofia das amígdalas R90",,,
R23,1,Sinais/sintomas da voz,Rouquidão/sintomas da voz,R49,R49.8,,"disfonia, afonia, rouquidão","perturbações neurológicas da fala N19, gagueira/tiques P10, garganta irritada R21",,,
R24,1,Hemoptise,Hemoptise,R04.2,R04.2,,tosse com sangue,,,,
R25,1,Expectoração/mucosidade anormal,Expectoração/mucosidade anormal,R09.3,R09.3,,,"tosse com expectoração R05, hemoptise R24",,,
R26,1,Medo de câncer do aparelho respiratório,Medo de câncer do aparelho respiratório,Z71.1,Z71.1,paciente que receia ter câncer do aparelho respiratório sem o ter ou até o diagnóstico ser confirmado,,"se o paciente tem a doença, codifique-a",,,
R27,1,Medo de outras doenças respiratórias,Medo de outras doenças respiratórias,Z71.1,Z71.1,um medo excessivo de outras doenças respiratórias num paciente que não as tem ou até o diagnóstico ser confirmado,,"se o paciente tem a doença, codifique-a",,,
R28,1,Limitação funcional/incapacidade,Limitação funcional/incapacidade,"Z73.6, Z99.1",Z73.6,limitação funcional/ incapacidade devido a problema respiratório,"incapacidade devido a hipóxia, hipercapnia, funcionamento reduzido dos pulmões, doenças respiratórias, ou devido a problemas nasais, da laringe ou da garganta","dispnéia R02, espirros R03",,Os quadros COOP/WONCA permitem codificar o estado funcional do paciente (ver Capítulo 8).,
R29,1,"Sinais/sintomas do aparelho respiratório, outros","Sinais/sintomas do aparelho respiratório, outros","R04.1, R04.8, R04.9, R06.6, R09.0, R09.2, R09.8",R09.8,,"sensação de tórax apertado, fluidos nos pulmões, soluços, congestão dos pulmões, outros sintomas ou queixas do aparelho respiratório","dor R01, problemas respiratórios R02/R03/R04, tosse R05, sintomas do nariz ou dos seios perinasais R06/R07/R08/R09, sintomas da garganta R21/R22/R23, expectoração anormal R24/R25",,,
R71,7,Tosse convulsa/ pertussis,Pertussis,A37,A37,"infecção respiratória com tosse paroxística entrecortada característica, terminando com uma contração inspiratória de som agudo, ou infecção respiratória com tosse durante pelo menos três semanas em contato com tosse convulsa conhecida, ou demonstração de Pertussis bordetella ou parapertussis","parapertussis, pertussis",crupe R77,"tosse R05, infecção do aparelho respiratório superior R74",,
R72,7,Infecção estreptocócica da orofaringe,Infecção estreptocócica da orofaringe/ pus na garganta,"J02.0, J03.0",J03.0,"inflamação aguda da garganta, além de prova de estreptococos beta-hemolíticos",tonsilite ou faringite estreptocócica confirmadas,"escarlatina A78; erisipela, infecção estreptocócica da pele S76",tonsilite R76,,
R73,7,Abcesso/furúnculo no nariz,Abcesso/furúnculo no nariz,J34.0,J34.0,,infecção localizada no nariz,sinusite aguda A75,,,
R74,7,Infecção aguda do aparelho respiratório superior (IVAS),Infecção aguda do aparelho respiratório superior (IVAS),"B00.2, B08.5, J00, J02.8, J02.9, J06",J06,"evidência de inflamação aguda nasal ou da mucosa faríngea com ausência de critérios que permitam a definição específica de uma infecção respiratória aguda, classificada nesta seção.","rinite aguda, coriza, resfriado, nasofaringite, faringite, infecção do trato respiratório inferior, infecção do trato respiratório superior","sarampo A71, mononucleose infecciosa A75, faringoconjuntivite viral F70, sinusite R75, amigdalite R76, esquinência R76, laringite R77, crupe R77, gripe R80, rinite alérgica R97, faringite crônica R99",,,
R75,7,Sinusite crónica/aguda,Sinusite crônica/aguda,"J01, J32",J01,"secreção nasal ou pós-nasal purulenta, ou episódios anteriores de sinusite medicamente tratada, além de sensibilidade na zona de um ou mais seios perinasais, ou dores faciais profundas agravadas com a cabeça pendente, ou opacidade à transiluminação; ou evidência imagiológica de sinusite; ou pus proveniente dos seios perinasais",sinusite que afete qualquer seio perinasal,,"cefaléia N01, dores faciais N03, infecção do aparelho respiratório superior R74",,
R76,7,Amigdalite aguda,Amigdalite aguda,"J03.8, J03.9, J36",J03,"garganta inflamada ou febre com hiperhemia das amígdalas mais do que da parede posterior da faringe, e pus na(s) amígdala(s) dilatadas ou gânglios regionais aumentados e sensíveis","abcesso peritonsilar, esquinência","mononucleose infecciosa A75, infecção estreptocócica da garganta R72, difteria R83, hipertrofia ou infecção crônica das amígdalas R90",infecção aguda do aparelho respiratório superior R74,,
R77,7,Laringite/traqueíte aguda,Laringite/traqueíte aguda,"J04, J05.0, J38.5",J04.0,"rouquidão ou estridor com ou sem dificuldade respiratória, ou tosse seca e profunda que provoca dor, “tosse de cachorro” nas crianças, não apresentando o tórax qualquer sinal anormal",crupe,"laringotraqueíte R78, epiglotite R83",infecção do aparelho respiratório superior R74,,
R78,7,Bronquite/bronquiolite aguda,Bronquite/bronquiolite aguda,"J20, J21, J22, J40",J22,"em crianças e adultos, tosse e febre com sinais do tórax anormais, em parte ou em geral - respiração ruidosa, estertor rouco e úmido, roncos. Em crianças pequenas (bronquiolite) dispnéia e hiperinsuflação",infecção aguda do aparelho respiratório inferior NE; bronquite NE; infecção do tórax NE;  laringotraqueobronquite; traqueobronquite,"gripe R80, bronquite crônica R91, bronquite alérgica R96","respiração ruidosa R03, tosse R05, infecção respiratória superior R74",,
R79,7,Bronquite crônica,Bronquite crônica/ DPOC/ Doença Pulmonar Obstrutiva Crônica,"J41, J42",J42,tosse com expectoração quase diária durante pelo menos 3 meses/ano durante pelo menos 2 anos; estridor ou roncos na auscultação do tórax durante estes episódios,,"enfisema, doença pulmonar obstrutiva crônica (pulmão, vias respiratórias) R95; bronquiectasias R99",tosse R05; expectoração/mucosidade anormais R25; bronquite NE R78,,
R80,7,Gripe,Gripe,"J10.1, J10.8, J11.1, J11.8",J11.1,"mialgia e tosse sem outros sinais físicos respiratórios anormais que não a inflamação da membrana da mucosa nasal e da garganta, além de três ou mais dos seguintes fenômenos: início repentino (12 horas ou menos), tremores, arrepios ou febre, prostração e fraqueza, contatos próximos com gripe ou epidemia de gripe; ou cultura viral ou evidência serológica de infecção pelo vírus da gripe","doença do tipo da influenza, para-influenza","gripe gástrica D70, gripe pneumônica R81",febre A03; infecção viral NE A77; infecção do aparelho respiratório superior R74,,
R81,7,Pneumonia,Pneumonia,"A48.1, J10.0, J11.0, J12, J13, J14, J15, J16, J17, J18",J18,evidência de consolidação pulmonar,"pneumonia bacteriana e viral; broncopneumonia; pneumonia da gripe; doença dos legionários, pneumonite",pneumonia de aspiração R99,tosse R05; bronquite NE R78,,
R82,7,Pleurite/derrame pleural,Pleurite/derrame pleural,"J90, J91, J94, R09.1",R09.1,evidência clínica de exsudado pleural; ou dor pleurítica acompanhada de atrito de fricção pleural; ou evidência de exsudado inflamatório pleural,"exsudado inflamatório pleural, pleurite","tuberculose R70, pneumonia R81, derrame maligno (codificar na origem da malignidade)",dores pleuríticas R01,,
R83,7,Outra infecção respiratória,Outra infecção respiratória,"A36, B37.1, B44, B58.3, J05.1, J31, J37, J85, J86",J31.1,,nasofaringite crônica; faringite crônica; rinite crônica NE; infecções respiratórias por fungos; infecções por protozoários (sem pneumonia); abcesso no pulmão; difteria; epiglotite; empiema,fibrose quística T99,,malignant effusion to be coded to origin of malignancy,
R84,7,Neoplasia maligna dos brônquios/pulmão,Cãncer dos brônquios/pulmão,"C33, C34, C45.7",C34,aparência histológica característica,"malignidade na traquéia, brônquios, pulmão ou pleura",localização não identificada A79; malignidade secundária de origem identificada (codificar no respectivo local),neoplasia de natureza incerta R92,,
R85,7,Outra neoplasia respiratória maligna,Outra câncer respiratório,"C09, C10, C11, C12, C13, C14.0, C14.2, C30.0, C31, C32, C38.4, C39, C45.0, C38.1, C38.2, C38.3, C45.7",C39,aparência histológica característica,"malignidade na laringe, mediastino, nariz, faringe, seios perinasais; mesotelioma","doença de Hodgkin B72, malignidade da traquéia, brônquios, pleura ou pulmão R84",neoplasia de natureza incerta R92,,
R86,7,Neoplasia benigna respiratória,Tumor benigno do aparelho respiratório,"D14.0, D14.1, D14.2, D14.3, D14.4, D19.0",D14.4,aparência clínica ou histológica característica,neoplasias benignas do aparelho respiratório,"neoplasia de natureza incerta R92, pólipo nasal R99",neoplasias de natureza incerta R92,,
R87,7,Corpo estranho nariz/laringe/brônquios,Corpo estranho no nariz/laringe/brônquios,T17,T17,"visualização do corpo estranho de forma direta, endoscópica ou imagiológica","corpo estranho nos brônquios, laringe, pulmão ou nariz","afogamento A88, corpo estranho alojado no esôfago D79, corpo estranho no ouvido H76, pneumonia de aspiração R99",outras queixas do sistema respiratório R29,,
R88,7,Outra lesão respiratória,Outra lesão respiratória,"S00.3, S01.2, S03.1, S09.9, S10.0, S17.0, S19.8, S27, T27, T70.1",S27,,todas as lesões e traumatismos do nariz (exceto fratura) e do aparelho respiratório; enfisema cirúrgico,"afogamento A88, fratura do nariz L76, corpo estranho R87",,,
R89,7,Malformação congénita do aparelho respiratório,Malformação congênita do aparelho respiratório,"Q30, Q31, Q32, Q33, Q34",Q34,,"malformação congênita do nariz, faringe, traquéia, laringe, brônquios, pulmões ou pleura","fissura no lábio ou palato D81, fibrose cística T99",,,
R90,7,Hipertrofia das amígdalas/adenóides,Hipertrofia das amígdalas/adenóides,"J34.8, J35",J35,,amigdalite crônica,"amigdalite aguda R76, rinite alérgica R97",,,
R92,7,Neoplasia respiratória NE,Neoplasia respiratória NE,"D02, D38.0, D38.1, D38.2, D38.3, D38.4, D38.5, D38.6",D38,,incerteza quanto à malignidade ou à benignidade,"neoplasia secundária de localização desconhecida A79; neoplasias malignas R84,R85; neoplasia benigna R86",,,
R95,7,Doença pulmonar obstrutiva crónica,Enfisema/ DPOC/ Doença Pulmonar Obstrutiva Crônica,"J43, J44",J44,"evidências objetivas de obstrução das vias respiratórias, não aliviada ou apenas parcialmente aliviada pelos broncodilatores","enfisema; obstrução crônica das vias respiratórias, do pulmão, doença pulmonar; limitação crônica das vias respiratórias","bronquite crônica R79, asma R96, bronquiectasias R99, fibrose cística T99",outros problemas respiratórios R04,,
R96,7,Asma,Asma,"J45, J46",J45,episódios recorrentes de obstrução aguda e reversível dos brônquios com ruído e/ou tosse seca; ou testes diagnósticos que satisfaçam os critérios de asma,"bronquite ruidosa, hiperreatividade brônquica","bronquiolite R78, bronquite crônica R91, enfisema R95","respiração ruidosa R03, tosse R05",,
R97,7,Rinite alérgica,Rinite alérgica,J30,J30.4,,"febre do feno, alergia nasal, rinite vasomotora","infecção respiratória superior R74, rinite NE R83",,,
R98,7,Síndrome de hiperventilação,Síndrome de hiperventilação,R06.4,R06.4,sintomas relacionados à hiperventilação e aliviados quando se respira novamente o ar expirado,,,problemas respiratórios R04,,
R99,7,Outras doenças respiratórias,Outras doenças respiratórias,"J33, J34.1, J34.2, J34.3, J34.8, J38, J39, J47, J60, J61, J62, J63, J64, J65, J66, J67, J68, J69, J70, J80, J81, J82, J84, J92, J93, J96, J98, J99, Z90.2",J98,,"pneumonia de aspiração; bronquietasias; desvio do septo nasal; complicações pulmonares de outras doenças; doença do mediastino; pólipo nasal; outras doenças da laringe; pneumoconiose; pneumotorax; pneumonite alérgica, químicos, pó, fumos, fungos; colapso pulmonar; insuficiência respiratória; e outras doenças do aparelho respiratório NE",,,,
S01,1,Dor/sensibilidade dolorosa da pele,Dor/sensibilidade dolorosa da pele,R20.8,R20.8,,"sensação de ardor, lesão ou erupção cutânea dolorosa, dor","formigamento, distúrbios de sensação N05,N06",,,
S02,1,Prurido,Prurido,"L29.8, L29.9",L29,,irritação da pele,"anogenital D05, dermatite artefacta S99, da vulva X16, dos mamilos X20",,,
S03,1,Verrugas,Verrugas,B07,B07,,verrugas vulgares,"molusco contagioso S95, verruga genital X91, Y76",,,
S04,1,Tumor/inchaço localizado,Tumor/inchaço localizado,"R22.0, R22.1, R22.2, R22.3, R22.4, R22.9, R23.8",R22,,pápula,picada de inseto S12; nódulo na mama X19,,,
S05,1,Tumores/inchaços generalizados,Tumores/inchaços generalizados,"R22.7, R23.8",R22.7,,"pápulas, tumores ou inchaços em vários locais",tornozelos inchados/edema K07,,,
S06,1,Erupção cutânea localizada,Erupção cutânea localizada,"L53.9, R21",R21,,"máculas, eritema, vermelhidão",inchaços S05,,,
S07,1,Erupção cutânea generalizada,Erupção cutânea generalizada,"L53.9, R21",R21,,"máculas, eritema, vermelhidão em vários locais","erupção cutânea com febre A76, inchaços S06",,,
S08,1,Alterações da cor da pele,Alterações da cor da pele/ mancha/ olheira,"L81.0, L81.1, L81.2, L81.3, R23.0, R23.1, R23.2, R23.8",R23.8,,"“olheiras”, cianose, rubor, sardas, palidez, pigmentação","contusão S16, vitiligo S99",,,
S09,1,Infecção dos dedos das mãos/pés,Infecção dos dedos das mãos/pés,L03.0,L03.0,,peroníquia,"pós-traumática S11; tinea S74; monília, cândida S75",,,
S10,1,Furúnculo/carbúnculo,Furúnculo/carbúnculo,L02,L02,,abcesso; furúnculo; foliculite,"linfadenite B70; perianal D95; no meato auditivo externo H70; no interior do nariz R73; no dedo da mão ou do pé infectado, S09; ferida infectada S11; erisipela S76; abcesso pilonidal S85; hidradenite S92; nos genitais externos femininos X99; nos genitais externos masculinos Y99",,,
S11,1,Infecção pós-traumática da pele,Infecção pós-traumática da pele,T79.3,T79.3,,infecção pós-traumática de uma ferida ou mordedura,infecção de uma ferida cirúrgica A87; erisipela S76; piodermia S76; impetigo S84,,,
S12,1,Picada ou mordedura de inseto,Picada ou mordedura de inseto,"S00.0, S00.2, S00.3, S00.4, S00.5, S00.7, S00.8, S00.9, S10.1, S10.7, S10.8, S10.9, S20.1, S20.3, S20.4, S20.7, S20.8, S30.7, S30.8, S30.9, S40.7, S40.8, S50.7, S50.8, S60.7, S60.8, S70.7, S70.8, S80.7, S80.8, S90.7, S90.8, T09.0, T11.0, T13.0, T14.0",T14.0,,,efeitos tóxicos A86; infecção de picada S11; escabiose S72; pediculose S73,,,
S13,1,Mordedura animal/humana,Mordedura animal/humana,T14.1,T14.1,,,efeitos tóxicos A86; infecção da mordedura S11,,,
S14,1,Queimadura/escaldão,Queimadura/escaldão,"T20, T21, T22, T23, T24, T25, T30, T31, T32",T30.0,,todos os graus; queimaduras químicas,queimaduras solares S80,,,
S15,1,Corpo estranho na pele,Corpo estranho na pele,"S00.0, S00.2, S00.3, S00.4, S00.5, S00.7, S00.8, S00.9, S10.1, S10.7, S10.8, S10.9, S20.1, S20.3, S20.4, S20.7, S20.8, S30.7, S30.8, S30.9, S40.7, S40.8, S50.7, S50.8, S60.7, S60.8, S70.7, S70.8, S80.7, S80.8, S90.7, S90.8, T09.0, T11.0, T13.0, T14.0, T14.1",T14.0,,corpo estranho sob a unha,,,,
S16,1,Traumatismo/contusão,Traumatismo/contusão,"S00.0, S00.8, S00.9, S10.0, S10.8, S10.9, S20.0, S20.2, S30.0, S30.1, S40.0, S50.0, S50.1, S60.0, S60.1, S60.2, S70.0, S70.1, S80.0, S80.1, S90.0, S90.1, S90.2, S90.3, T09.0, T11.0, T13.0, T14.0",T14.0,superfície cutânea intacta,"hematoma, equimose",com corte na pele S17,,,
